date,open,high,low,close,volume
1554069600000,4102.4,4102.4,4102.4,4102.4,0.03336605
1554076800000,4091.2,4120.3,4065.3,4120.3,7.11996519
1554080400000,4139.6,4139.6,4139.6,4139.6,0.03493537
1554084000000,4125.1,4125.1,4125.1,4125.1,0.0203
1554098400000,4131.3,4131.3,4131.3,4131.3,0.00305421
1554102000000,4129.5,4129.5,4129.5,4129.5,0.01216117
1554105600000,4127.2,4131.9,4127.2,4131.9,0.00887189
1553641200000,3944.9,3946.8,3944.9,3946.8,0.14482885
1553644800000,3948.7,3956.4,3948.7,3956.4,1.16741263
1553648400000,3965.8,3965.9,3965.8,3965.9,1.60330125
1553652000000,3980.1,3980.1,3980.1,3980.1,0.03042028
1553655600000,3994.1,3994.1,3990.4,3990.4,0.7879109799999999
1553659200000,3994.5,3994.5,3986.3,3986.3,14.48358173
1553677200000,3995.9,3995.9,3995.9,3995.9,0.031
1553680800000,3996.4,4039.7,3995.2,4022.2,14.215967
1553684400000,4021.8,4021.8,4021.8,4021.8,0.00245228
1553688000000,4028.9,4028.9,4028.9,4028.9,0.72984515
1553698800000,4018.8,4025.4,4018.8,4025.4,27.804100000000002
1553716800000,4022.3,4022.3,4022.2,4022.2,0.25307764
1553720400000,4027.1,4027.1,4027.1,4027.1,0.25226461
1553731200000,4025.2,4026.6,4025.2,4026.6,0.5405
1553734800000,4030.8,4030.8,4023.9,4023.9,1.05765032
1553738400000,4025,4025,4024.9,4025,0.23287955
1553760000000,4023.7,4023.7,4014.5,4014.5,0.57788501
1553767200000,4019,4024.3,4017.2,4017.2,0.649509
1553770800000,4012.7,4012.7,4012.7,4012.7,0.13399999
1553774400000,4013.2,4013.2,4013.2,4013.2,0.54003199
1553778000000,4024.6,4027.2,4024.6,4027.2,3.00533535
1553781600000,4026.8,4026.8,4026.8,4026.8,0.08133496
1553785200000,4023.6,4028,4023.6,4026.6,3.08980955
1553788800000,4024.7,4028.6,4024.7,4028.6,0.010942
1553803200000,4027.3,4027.3,4027.3,4027.3,0.19205391
1553806800000,4027.3,4027.3,4025.3,4025.3,0.1
1553814000000,4026.3,4026.3,4026.3,4026.3,0.015262
1553824800000,4032.6,4034.6,4032.6,4034.6,0.08736015999999999
1553832000000,4059.3,4059.3,4059.3,4059.3,0.16565687
1553835600000,4030.5,4030.5,4030.5,4030.5,0.02919999
